m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	blindreading	readingdate	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	rightclawheight	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	morphologytype	individualcomment	cond
4	2020	1019	9	2207	3	9	1	0.011		2	0.115																																																																										0.6780771120079366
4	2020	1019	9	2207	3	10	1	0.018		2	0.13																																																																										0.7737931312425694
4	2020	1019	9	2207	3	11	1	0.012		2	0.12																																																																										0.6527892289777218
4	2020	1019	9	2207	3	12	1	0.295		2	0.315																																																																										0.9217026308068363
4	2020	1019	9	2207	3	13	1	0.023		2	0.14																																																																										0.7948464574794943
4	2020	1019	9	2207	3	14	1	0.01		2	0.11																																																																										0.7023319615912208
4	2020	1019	9	2207	3	15	1	0.017		2	0.125																																																																										0.8201973599897475
4	2020	1019	9	2207	3	16	1	0.017		2	0.135																																																																										0.6539444027047332
4	2020	1019	9	2207	3	17	1	0.01		2	0.115																																																																										0.6164337381890332
4	2020	1019	9	2207	3	18	1	0.066		2	0.2																																																																										0.7948201211423281
4	2020	1019	9	2207	3	19	1	0.012		2	0.12																																																																										0.6527892289777218
4	2020	1019	9	2207	3	20	1	0.027		2	0.155																																																																										0.6910700788251809
4	2020	1019	9	2207	3	21	1	0.017		2	0.135																																																																										0.6539444027047332
4	2020	1019	9	2207	3	22	1	0.094		2	0.225																																																																										0.7983322075822981
4	2020	1019	9	2207	3	23	1	0.009		2	0.11																																																																										0.6320987654320988
4	2020	1019	9	2207	3	24	1	0.018		2	0.14																																																																										0.6220537493317783
4	2020	1019	9	2207	3	25	1	0.016		2	0.13																																																																										0.6878161166600617
4	2020	1019	9	2207	3	26	1	0.013		2	0.13																																																																										0.5588505947863002
4	2020	1019	9	2207	3	27	1	0.014		2	0.12																																																																										0.7615874338073422
4	2020	1019	9	2207	3	28	1	0.033		2	0.155																																																																										0.8446412074529989
4	2020	1019	9	2207	3	29	1	0.02		2	0.135																																																																										0.7693463561232157
4	2020	1019	9	2207	3	30	1	1.0E-4		2	0.035																																																																										0.18962962962962962
4	2020	1019	9	2207	3	31	1	1.0E-4		2	0.03																																																																										0.29130632680928537
4	2020	1019	9	2207	4	1	1	0.007		2	0.1																																																																										0.6500195876438241
4	2020	1019	9	2207	5	1	1	0.003		2	0.075																																																																										0.6444899466281763
4	2020	1019	9	2207	6	1	1	0.006		2	0.07																																																																										1.5744802984952233
4	2020	1019	9	2207	6	2	1	0.004		2	0.065																																																																										1.300614743687446
4	2020	1019	9	2207	6	3	1	0.005		2	0.07																																																																										1.312066915412686
4	2020	1019	9	2207	6	4	1	0.005		2	0.07																																																																										1.312066915412686
4	2020	1019	9	2207	6	5	1	0.005		2	0.07																																																																										1.312066915412686
4	2020	1019	9	2207	6	6	1	0.009		2	0.085																																																																										1.3434402332361517
4	2020	1019	9	2207	6	7	1	0.003		2	0.06																																																																										1.2288000000000001
4	2020	1019	9	2207	7	1	1	0.011		2	0.13																																																																										0.47287358020379244
4	2020	1019	9	2207	7	2	1	0.031		2	0.185																																																																										0.4702814814814815
4	2020	1019	9	2207	7	3	1	0.015		2	0.145																																																																										0.4674285102176951
4	2020	1019	9	2207	8	1	1			2	0.035																																																																										
4	2020	1019	9	2207	9	1	1	0.208		2	0.235																																																																										1.5526461583321183
4	2020	1019	9	2207	9	2	1	0.086		2	0.17																																																																										1.6754487700489178
4	2020	1019	9	2207	10	1	1	0.03		2	0.16																																																																										0.6991351843422849
4	2020	1019	9	2207	10	2	1	0.034		2	0.17																																																																										0.6623867230425955
4	2020	1019	9	2207	10	3	1	0.012		2	0.13																																																																										0.5158620874950463
4	2020	1019	9	2207	11	1	1	9.38		3	0.99																																																																										0.9522118813557193
4	2020	1019	9	2207	11	2	1	15.01		3	1.06																																																																										1.2426014867962727
4	2020	1019	9	2207	12	1	1	0.955		2	0.405			1	2																																																																						1.411303869748106
4	2020	1019	9	2207	12	2	1	0.52		2	0.355			1	2																																																																						1.1380863256260585
4	2020	1019	9	2207	12	3	1	0.455		2	0.33			2	1																																																																						1.237760011425477
4	2020	1019	9	2207	12	4	1	0.307		2	0.295			1	1																																																																						1.1659433916918225
4	2020	1019	9	2207	12	5	1	0.184		2	0.245			1	1																																																																						1.213646515146362
4	2020	1019	9	2207	12	6	1			2	0.35																																																																										
4	2020	1019	9	2207	12	7	1			2	0.34																																																																										
4	2020	1019	9	2207	12	8	1			2	0.33																																																																										
4	2020	1019	9	2207	12	9	1			2	0.405																																																																										
4	2020	1019	9	2207	12	10	1			2	0.35																																																																										
4	2020	1019	9	2207	12	11	1			2	0.31																																																																										
4	2020	1019	9	2207	12	12	1			2	0.315																																																																										
4	2020	1019	9	2207	12	13	1			2	0.32																																																																										
4	2020	1019	9	2207	12	14	1			2	0.36																																																																										
4	2020	1019	9	2207	12	15	1			2	0.36																																																																										
4	2020	1019	9	2207	12	16	1			2	0.385																																																																										
4	2020	1019	9	2207	12	17	1			2	0.365																																																																										
4	2020	1019	9	2207	12	18	1			2	0.325																																																																										
4	2020	1019	9	2207	12	19	1			2	0.32																																																																										
4	2020	1019	9	2207	12	20	1			2	0.335																																																																										
4	2020	1019	9	2207	12	21	1			2	0.335																																																																										
4	2020	1019	9	2207	12	22	1			2	0.34																																																																										
4	2020	1019	9	2207	12	23	1			2	0.355																																																																										
4	2020	1019	9	2207	12	24	1			2	0.39																																																																										
4	2020	1019	9	2207	12	25	1			2	0.345																																																																										
4	2020	1019	9	2207	12	26	1			2	0.375																																																																										
4	2020	1019	9	2207	12	27	1			2	0.32																																																																										
4	2020	1019	9	2207	12	28	1			2	0.38																																																																										
4	2020	1019	9	2207	12	29	1			2	0.33																																																																										
4	2020	1019	9	2207	12	30	1			2	0.37																																																																										
4	2020	1019	9	2207	12	31	1			2	0.385																																																																										
4	2020	1019	9	2207	12	32	1			2	0.36																																																																										
4	2020	1019	9	2207	12	33	1			2	0.375																																																																										
4	2020	1019	9	2207	12	34	1			2	0.345																																																																										
4	2020	1019	9	2207	12	35	1			2	0.36																																																																										
4	2020	1019	9	2207	12	36	1			2	0.375																																																																										
4	2020	1019	9	2207	12	37	1			2	0.315																																																																										
4	2020	1019	9	2207	12	38	1			2	0.31																																																																										
