m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	catchsampleid	commonname	catchcategory	catchpartnumber	aphia	scientificname	identification	foreignobject	sampletype	group	conservation	catchproducttype	raisingfactor	catchweight	catchvolume	catchcount	abundancecategory	sampleproducttype	lengthmeasurement	lengthsampleweight	lengthsamplevolume	lengthsamplecount	specimensamplecount	agesamplecount	agingstructure	parasite	stomach	intestine	tissuesample	samplerecipient	catchcomment
4	2019	LMEL	13	2517	7	lomre	LOMRE	1	127140	Microstomus kitt			20		1	1	1.0	3.063		7		1	E	3.063		7	7								
4	2019	LMEL	13	2517	9	gapeflyndre	GAPEFLYNDRE	1	127137	Hippoglossoides platessoides			20		1	1	1.0	2.14		115		1	E	0.558		30	30								
4	2019	LMEL	13	2517	10	lange	LANGE	1	126461	Molva molva			23		1	1	1.0	2.86		1		1	E	2.86		1	1		2						
4	2019	LMEL	13	2517	11	fremmedlegeme	FREMMEDLEGEME	1					65		1	1	1.0	0.001																	
4	2019	LMEL	13	2517	12	torsk	TORSK	1	126436	Gadus morhua			21		1	1	1.0	29.037		20		1	E	29.037		20	10		2						Mageprøve glemt
4	2019	LMEL	13	2517	13	vanlig uer	VANLIG UER	1	151324	Sebastes norvegicus			21		1	1	1.0	0.256		1		1	E	0.256		1	1		2						
4	2019	LMEL	13	2517	14	hyse	HYSE	1	126437	Melanogrammus aeglefinus			21		1	1	1.0	10.868		104		1	E	10.868		104	5		2						
4	2019	LMEL	13	2517	15	hyse	HYSE	2	126437	Melanogrammus aeglefinus			21		1	1	1.0	0.093		7		1	E	0.093		7	1		2						
4	2019	LMEL	13	2517	16	sei	SEI	1	126441	Pollachius virens			10		1	1	1.0	66.98		76		1	E	66.98		76									
4	2019	LMEL	13	2517	17	breiflabb	BREIFLABB	1	126555	Lophius piscatorius			20		1	1	1.0	20.93		2		1	E	20.93		2	2								
4	2019	LMEL	13	2517	18	vassild	VASSILD	1	126715	Argentina silus			20		1	1	1.0	5.2		127		1	E	2.041		50	50								
4	2019	LMEL	13	2517	19	torsk	TORSK	2	126436	Gadus morhua			21		1	1	1.0	0.061		15		1	E	0.061		15	2		2						Mageprøve glemt
4	2019	LMEL	13	2517	20	brosme	BROSME	1	126447	Brosme brosme			23		1	1	1.0	3.864		10		1	E	3.864		10	10		2						
4	2019	LMEL	13	2517	21	hyse	HYSE	3	126437	Melanogrammus aeglefinus			20	13	1	1	1.0	0.163		5		1	E	0.163		5	5		2						
4	2019	LMEL	13	2518	1	hyse	HYSE	1	126437	Melanogrammus aeglefinus			20		1	1	1.0	3.092		4		1	E	3.092		4	4								
4	2019	LMEL	13	2518	2	knurr	KNURR	1	150637	Eutrigla gurnardus			20		1	1	1.0	0.401		1		1	E	0.401		1	1								
4	2019	LMEL	13	2518	3	brennmanet	BRENNMANET	1	135301	Cyanea capillata			90		1	1	1.0	29.39		25															
4	2019	LMEL	13	2518	4	glassmanet	GLASSMANET	2	135306	Aurelia aurita			90		1	1	1.0	3.62		21															
4	2019	LMEL	13	2518	5	lodde	LODDE	1	126735	Mallotus villosus			10	10	1	1	1.0	0.051		382		1	E	0.004		30									
4	2019	LMEL	13	2518	6	hyse	HYSE	2	126437	Melanogrammus aeglefinus			10	10	1	1	1.0	0.427		72		1	E	0.179		30									
4	2019	LMEL	13	2518	7	uerslekten	UERSLEKTEN	1	126175	Sebastes			10	10	1	1	1.0	5.0E-4		2		1	E	5.0E-4		2									
4	2019	LMEL	13	2518	8	hvitting	HVITTING	1	126438	Merlangius merlangus			10	10	1	1	1.0	0.015		27		1	E	0.011		20									
4	2019	LMEL	13	2518	9	torsk	TORSK	1	126436	Gadus morhua			10	10	1	1	1.0	0.224		86		1	E	0.078		30									
4	2019	LMEL	13	2518	10	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			10	10	1	1	1.0	0.001		6		1	E	0.001		6									
4	2019	LMEL	13	2518	11	tiarmete blekkspruter	TIARMETE BLEKKSPRUTER	1	11709	Coleoidea			91		1	1	1.0	0.002		1		1	B	0.002		1									
4	2019	LMEL	13	2518	12	sild'G03	SILD'G03	1	126417	Clupea harengus			20		1	1	1.0	1.899		16		1	E	1.899		16	16								
4	2019	LMEL	13	2518	13	blå brennmanet	BLÅ BRENNMANET	1	135302	Cyanea lamarcki			90		1	1	1.0	0.0013		1															
4	2019	LMEL	13	2519	12	sei	SEI	1	126441	Pollachius virens			10		1	1	1.0	43.02		23		1	E	43.02		23									
4	2019	LMEL	13	2519	16	lusuer	LUSUER	1	127255	Sebastes viviparus			10		1	1	1.0	4.26		65		1	E	2.16		33									
4	2019	LMEL	13	2519	1	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			20		1	1	1.0	10.4		226		1	E	1.38		30	30								
4	2019	LMEL	13	2519	2	sølvtorsk	SØLVTORSK	1	126435	Gadiculus argenteus			20		1	1	1.0	0.103		6		1	E	0.103		6	6								
4	2019	LMEL	13	2519	3	laksesild	LAKSESILD	1	127312	Maurolicus muelleri			20		1	1	1.0	0.015		7		1	J	0.015		7	7								
4	2019	LMEL	13	2519	4	krokulke	KROKULKE	1	127193	Artediellus atlanticus			20		1	1	1.0	0.073		22		1	E	0.073		22	22								
4	2019	LMEL	13	2519	5	nordlig knurrulke	NORDLIG KNURRULKE	1	127205	Triglops murrayi			20		1	1	1.0	0.012		3		1	E	0.012		3	3								
4	2019	LMEL	13	2519	6	rundhalet langebarn	RUNDHALET LANGEBARN	1	127070	Anisarchus medius			20		1	1	1.0	0.004		1		1	E	0.004		1	1								
4	2019	LMEL	13	2519	13	flekksteinbit	FLEKKSTEINBIT	1	126759	Anarhichas minor			20		1	1	1.0	15.8		1		1	E	15.8		1	1								
4	2019	LMEL	13	2519	14	gråsteinbit	GRÅSTEINBIT	1	126758	Anarhichas lupus			20		1	1	1.0	3.789		10		1	E	3.789		10	10								
4	2019	LMEL	13	2519	15	vassild	VASSILD	1	126715	Argentina silus			20		1	1	1.0	5.4		76		1	E	2.141		30	30								
4	2019	LMEL	13	2519	17	lange	LANGE	1	126461	Molva molva			20		1	1	1.0	0.785		1		1	E	0.785		1	1	2	2						
4	2019	LMEL	13	2519	18	vanlig uer	VANLIG UER	1	151324	Sebastes norvegicus			20		1	1	1.0	0.46		1		1	E	0.46		1	1	2	2						
4	2019	LMEL	13	2519	19	brosme	BROSME	1	126447	Brosme brosme			20		1	1	1.0	7.335		7		1	E	7.335		7	7	2	2						
4	2019	LMEL	13	2519	8	torsk	TORSK	1	126436	Gadus morhua			21		1	1	1.0	19.655		19		1	E	19.655		19	11	2	2						
