m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2019	LMEL	13	2569	12	15	1			2	0.065																																																																						
4	2019	LMEL	13	2569	12	16	1			2	0.065																																																																						
4	2019	LMEL	13	2569	12	17	1			2	0.06																																																																						
4	2019	LMEL	13	2569	12	18	1			2	0.065																																																																						
4	2019	LMEL	13	2569	12	19	1			2	0.055																																																																						
4	2019	LMEL	13	2569	12	20	1			2	0.065																																																																						
4	2019	LMEL	13	2569	12	21	1			2	0.06																																																																						
4	2019	LMEL	13	2569	12	22	1			2	0.05																																																																						
4	2019	LMEL	13	2569	12	23	1			2	0.06																																																																						
4	2019	LMEL	13	2569	12	24	1			2	0.07																																																																						
4	2019	LMEL	13	2569	12	25	1			2	0.05																																																																						
4	2019	LMEL	13	2569	12	26	1			2	0.065																																																																						
4	2019	LMEL	13	2569	12	27	1			2	0.065																																																																						
4	2019	LMEL	13	2569	12	28	1			2	0.06																																																																						
4	2019	LMEL	13	2569	12	29	1			2	0.075																																																																						
4	2019	LMEL	13	2569	12	30	1			2	0.07																																																																						
4	2019	LMEL	13	2569	12	31	1			2	0.07																																																																						
4	2019	LMEL	13	2569	12	32	1			2	0.065																																																																						
4	2019	LMEL	13	2569	12	33	1			2	0.06																																																																						
4	2019	LMEL	13	2569	12	34	1			2	0.075																																																																						
4	2019	LMEL	13	2569	13	1	1	1.835		3	0.57			1	1	1																																																																	0.9652338292101585
4	2019	LMEL	13	2569	14	1	1	0.541		2	0.4			1																				3			1		2																1				0.011																						0.829658966170742
4	2019	LMEL	13	2569	14	2	1	0.239		2	0.3			2																				2			1		2																1				0.006																						0.863419323410258
4	2019	LMEL	13	2569	14	3	1	0.135		2	0.24			1																				2			1		2																1																										0.946669836841892
4	2019	LMEL	13	2569	14	4	1	1.33		3	0.52			1																				6	6	0	1		2																1				0.029																						0.9191232048374905
4	2019	LMEL	13	2569	14	5	1	0.221		2	0.295			1																				2			1		2																1																										0.8393273275696833
4	2019	LMEL	13	2569	14	6	1	0.344		2	0.35			2																				3			1		2																1				0.01																						0.7853822442112128
4	2019	LMEL	13	2569	14	7	1	0.051		2	0.175																							1			1		2																1																										0.9119585595301625
4	2019	LMEL	13	2569	14	8	1			2	0.335																																																																						
4	2019	LMEL	13	2569	14	9	1			2	0.24																																																																						
4	2019	LMEL	13	2569	14	10	1			2	0.335																																																																						
4	2019	LMEL	13	2569	14	11	1			2	0.32																																																																						
4	2019	LMEL	13	2569	14	12	1			2	0.23																																																																						
4	2019	LMEL	13	2569	14	13	1			2	0.285																																																																						
4	2019	LMEL	13	2569	14	14	1			2	0.335																																																																						
4	2019	LMEL	13	2569	14	15	1			2	0.26																																																																						
4	2019	LMEL	13	2569	14	16	1			2	0.235																																																																						
4	2019	LMEL	13	2569	14	17	1			2	0.215																																																																						
4	2019	LMEL	13	2569	14	18	1			2	0.285																																																																						
4	2019	LMEL	13	2569	14	19	1			2	0.18																																																																						
4	2019	LMEL	13	2569	14	20	1			2	0.18																																																																						
4	2019	LMEL	13	2569	14	21	1			2	0.165																																																																						
4	2019	LMEL	13	2569	14	22	1			2	0.18																																																																						
4	2019	LMEL	13	2569	14	23	1			2	0.18																																																																						
4	2019	LMEL	13	2569	14	24	1			2	0.195																																																																						
4	2019	LMEL	13	2569	14	25	1			2	0.185																																																																						
4	2019	LMEL	13	2569	14	26	1			2	0.175																																																																						
4	2019	LMEL	13	2569	14	27	1			2	0.175																																																																						
